accountsservice 0.6.55-1
lib32-vulkan-radeon 19.3.5-1
libdvdcss 1.4.2-1
libgpod 0.8.3-8
libtool 2.4.6+42+gb88cebd5-10
libva-mesa-driver 19.3.5-1
libva-vdpau-driver 0.7.4-4
licenses 20191011-2
lightdm-settings 1.2.8-1
lightdm-slick-greeter 1.2.8-2
linux54 5.4.24-1
linux54-nvidia-440xx 440.64-2
logrotate 3.16.0-1
lvm2 2.02.186-5
lxappearance 0.6.3-2
lxinput 0.3.5-2
m4 1.4.18-3
maia-console 1.2-6
make 4.3-1
man-db 2.9.1-1
man-pages 5.05-1
manjaro-alsa 20200126-1
manjaro-application-utility 1.3.1-1
manjaro-browser-settings 20200124-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.5-5
manjaro-hotfixes 2018.08-6
manjaro-i3-settings 20191111-1
manjaro-printer 20200215-2
manjaro-ranger-settings 20190513-2
manjaro-release 19.0.2-1
manjaro-settings-manager-notifier 0.5.6-6
manjaro-system 20191210-4
markdown_previewer 0.r6.64ad4d7-1
matcha-gtk-theme 20200301-1
mathpix-snipping-tool 02.01.0024-1
mdadm 4.1-2
memtest86+ 5.01-3
mesa-demos 8.4.0-2
mesa-vdpau 19.3.5-1
mhwd 0.6.4-2
mhwd-db 0.6.4-9
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
moc 1:2.5.2-2
modemmanager 1.12.6-1
morc_menu 1.0-2
mousepad 0.4.2-2
mypy 0.761-1
nano 4.8-1
ncdu 1.14.2-1
nemo 4.4.2-1
nemo-dropbox 4.4.0-1
nemo-image-converter 4.4.0-1
nemo-preview 4.4.0-1
nemo-share 4.4.0-1
netctl 1.20-2
network-manager-applet 1.8.24-1
networkmanager 1.22.8-1
networkmanager-openconnect 1.2.6-1
networkmanager-openvpn 1.8.12-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.3-2
nss-mdns 0.14.1-2
ntfs-3g 2017.3.23-4
ntp 4.2.8.p13-3
nvidia-440xx-utils 440.64-1
nvidia-prime 1.0-1
onboard 1.4.1-5
open-fuse-iso 1.1-1
openresolv 3.10.0-1
openssh 8.2p1-3
os-prober 1.77-1
otf-font-awesome-5-free 5.10.2-1
p7zip 16.02-5
