accountsservice 0.6.55-2
acpi 1.7-3
acpid 2.0.32-1
alsa-firmware 1.2.1-2
alsa-plugins 1.2.2-1
alsa-utils 1.2.2-1
alternating-layouts-git r30.5fa7b18-1
android-tools 29.0.6-1
apparmor 2.13.4-4
arandr 0.1.10-4
artwork-i3 20190912-1
autoconf 2.69-7
automake 1.16.2-1
autorandr 1.10.1-1
avahi 0.8+15+ge8a3dd0-1
b43-fwcutter 019-3
bash 5.0.016-1
bash-completion 2.10-1
bashtop 0.8.15-1
bauh 0.9.3-1
bedtools 2.29.2-1
betterlockscreen 3.0.1-4
binutils 2.34-2.1
bison 3.5.4-1
blueman 2.1.2-1
bluetooth-autoconnect 1.1-3
bluez-utils 5.54-2
bmenu 0.10-1
boxes-git 348-1
btrfs-progs 5.6-1
bumblebee 3.2.1-22
bzip2 1.0.8-3
cantarell-fonts 1:0.201-1
clamav 0.102.2-2
clamtk 6.02-2
clipit 1:1.4.3-2
coreutils 8.32-1
cpupower 5.6-1
crda 4.14-3
cronie 1.5.5-1
cryptsetup 2.3.2-1
deluge 2.0.4.dev23+g2f1c008a2-3
device-mapper 2.02.187-2
dfc 3.1.1-2
dhclient 4.4.2-2
dhcpcd 9.0.2-1
diffutils 3.7-3
discord 0.0.10-3
dmidecode 3.2-1
dmraid 1.0.0.rc16.3-12
dnsmasq 2.81-4
dosfstools 4.1-3
downgrade 7.0.0-1
dropbox 97.4.467-1
dropbox-cli 2020.03.04-1
e2fsprogs 1.45.6-2
ecryptfs-utils 111-3
efibootmgr 17-1
emacs 26.3-1
entr 4.4-1
etcher 1.5.86-1
evince 3.36.0-1
evtest 1.34-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
feh 3.4-1
ffmpeg 1:4.2.2-6
ffmpegthumbnailer 2.2.2-1
file 5.38-3
filesystem 2019.10-4
findutils 4.7.0-2
firefox 76.0.1-1
firejail 0.9.62-1
firetools 0.9.62-1
flac 1.3.3-1
flake8 1:3.7.9-1
flameshot 0.6.0-4
flex 2.6.4-3
freeoffice 2018.976-1
galculator 2.1.4-4
gawk 5.1.0-1
gcalcli 4.2.1-1
gcc 9.3.0-1
gcc-libs 9.3.0-1
gcolor2 0.4-8
geckodriver 0.26.0-1
gestures 0.2.2-4
gettext 0.20.2-1
gimp 2.10.18-6
git 2.26.2-1
gitkraken 7.0.0-1
glibc 2.31-2
gnome-keyring 1:3.36.0-1
gnome-power-manager 3.32.0-1
gnu-netcat 0.7.1-7
gparted 1.1.0-1
grep 3.4-1
grub 2.04-10
grub-theme-manjaro-dev 18.0-3
gst-libav 1.16.2-1
gst-plugins-bad 1.16.2-9
gst-plugins-base 1.16.2-1
gst-plugins-good 1.16.2-3
gst-plugins-ugly 1.16.2-3
gstreamer 1.16.2-1
gtksourceview-pkgbuild 4-2
gufw 20.04.1-1.1
gvfs 1.44.1-3
gvfs-afc 1.44.1-3
gvfs-gphoto2 1.44.1-3
gvfs-mtp 1.44.1-3
gvfs-smb 1.44.1-3
gzip 1.10-3
hexchat 2.14.3-1
htop 2.2.0-3
i3-battery-popup-git r51.d894a10-1
i3-gnome-pomodoro-git r62.d5ff8bf-1
i3-resurrect 1.4.3-2
iio-sensor-proxy 3.0-1
inetutils 1.9.4-8
intel-ucode 20200508-1
inxi 3.0.37-1
iproute2 5.6.0-1
iputils 20190709-2
jfsutils 1.1.15-7
jq 1.6-2
kazam 1.4.5-7
kvantum-manjaro 0.13.5-1
less 551-3
lib32-flex 2.6.4-2
lib32-libva-vdpau-driver 0.7.4-6
lib32-mesa-demos 8.4.0-1
lib32-mesa-vdpau 20.0.6-2
lib32-nvidia-430xx-utils 430.64-1
lib32-primus 20151110-4
lib32-vulkan-intel 20.0.6-2
lib32-vulkan-radeon 20.0.6-2
libdvdcss 1.4.2-2
libgpod 0.8.3-9
libinput-gestures 2.50-1
libreoffice-fresh 6.4.3-3
libtool 2.4.6+42+gb88cebd5-12
libva-intel-driver 2.4.0-1
libva-mesa-driver 20.0.6-2
libva-vdpau-driver 0.7.4-4
licenses 20200427-1
lightdm-gtk-greeter 1:2.0.7-1
lightdm-gtk-greeter-settings 1.2.2-4
lightdm-settings 1.3.3-1
lightdm-slick-greeter 1.3.2-1
lightdm-webkit-theme-aether 2.2.2-1
linux419 4.19.122-1
linux419-bbswitch 0.8-112
linux419-headers 4.19.122-1
linux419-nvidia-430xx 430.64-40
linux419-virtualbox-host-modules 6.1.6-8
linux54 5.4.40-1
linux54-bbswitch 0.8-46
linux54-headers 5.4.40-1
linux54-nvidia-430xx 430.64-46
logrotate 3.16.0-1
lvm2 2.02.187-2
lxappearance 0.6.3-2
lxinput 0.3.5-2
m4 1.4.18-3
maia-console 1.2-6
make 4.3-3
man-db 2.9.1-2
man-pages 5.06-2
manjaro-alsa 20200126-1
manjaro-application-utility 1.3.2-2
manjaro-browser-settings 20200124-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.5-11
manjaro-hotfixes 2018.08-6
manjaro-i3-settings 20191111-1
manjaro-printer 20200215-2
manjaro-ranger-settings 20190513-2
manjaro-release 20.0.1-1
manjaro-settings-manager-notifier 0.5.6-9
manjaro-settings-samba 20191208-1
manjaro-system 20200427-1
markdown_previewer 0.r6.64ad4d7-1
matcha-gtk-theme 20200510-1
mathpix-snipping-tool 02.04.0002-1
mdadm 4.1-2
meld 3.20.2-1
memtest86+ 5.01-3
mesa-demos 8.4.0-4
mesa-vdpau 20.0.6-2
mhwd 0.6.4-2
mhwd-db 0.6.4-10
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-3
mobile-broadband-provider-info 20190618-1
moc 1:2.5.2-3
modemmanager 1.12.10-1
morc_menu 1.0-2
mousepad 0.4.2-2
mypy 0.770-1
nano 4.9.2-1
ncdu 1.14.2-1
nemo 4.4.2-1
nemo-dropbox 4.4.0-1
nemo-fileroller 4.4.0-1
nemo-image-converter 4.4.0-1
nemo-preview 4.4.0-1
nemo-share 4.4.0-1
netctl 1.23-1
network-manager-applet 1.16.0-1
networkmanager 1.24.0-1
networkmanager-openconnect 1.2.6-1
